case_id,case_name,tau,n,method,mean,range
1,Case 1: LLQR (Gaussian design),0.2,200,llqr,0.28,0.31
1,Case 1: LLQR (Gaussian design),0.2,500,llqr,0.69,0.58
1,Case 1: LLQR (Gaussian design),0.2,1000,llqr,1.9,1.9
1,Case 1: LLQR (Gaussian design),0.2,2000,llqr,6.3,10.2
1,Case 1: LLQR (Gaussian design),0.2,5000,llqr,38.5,63.6
1,Case 1: LLQR (Gaussian design),0.2,200,seq,0.050,0.26
1,Case 1: LLQR (Gaussian design),0.2,500,seq,0.17,0.60
1,Case 1: LLQR (Gaussian design),0.2,1000,seq,0.50,1.2
1,Case 1: LLQR (Gaussian design),0.2,2000,seq,1.6,3.8
1,Case 1: LLQR (Gaussian design),0.2,5000,seq,9.4,23.9
1,Case 1: LLQR (Gaussian design),0.2,200,seq(ft),0.0060,0.028
1,Case 1: LLQR (Gaussian design),0.2,500,seq(ft),0.020,0.037
1,Case 1: LLQR (Gaussian design),0.2,1000,seq(ft),0.076,0.12
1,Case 1: LLQR (Gaussian design),0.2,2000,seq(ft),0.73,1.3
1,Case 1: LLQR (Gaussian design),0.2,5000,seq(ft),2.7,5.2
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(1),0.16,1.3
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(1),0.51,2.9
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(1),1.4,4.3
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(1),3.7,9.8
1,Case 1: LLQR (Gaussian design),0.2,5000,screen-seq(1),18.4,708.6
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(2),0.17,1.5
1,Case 1: LLQR (Gaussian design),0.2,500,screen-seq(2),0.51,3.5
1,Case 1: LLQR (Gaussian design),0.2,1000,screen-seq(2),1.4,3.9
1,Case 1: LLQR (Gaussian design),0.2,2000,screen-seq(2),3.6,10.1
1,Case 1: LLQR (Gaussian design),0.2,5000,screen-seq(2),18.2,697.1
1,Case 1: LLQR (Gaussian design),0.2,200,screen-seq(1)(ft),0.0089,0.025
