case,n,p,replication,h_summary,input_max_abs_diff,mst_max_abs_diff,mst_mean_edge_weight,mst_max_edge_weight,input_mean_edge_weight,input_max_edge_weight
1,300,4,1,"0.6837,0.6402,0.6907,0.6759",1.3486989303146402e-12,1.5587531265737198e-13,1.0215080756783133,2.4270760925832144,4.009355388787532,8.887151184392936
1,300,4,2,"0.6964,0.6474,0.6498,0.6659",4.778399897986674e-13,5.5289106626332796e-14,1.0201234379932886,3.3493766675012497,3.96902270662087,8.09414386349189
1,300,4,3,"0.6566,0.6575,0.7119,0.6436",5.795364188543317e-13,1.3711254354120683e-13,1.0342429406263118,2.7370195940457274,3.9432422377761283,9.65024238606914
1,300,4,4,"0.6733,0.6388,0.6528,0.6494",5.782041512247815e-13,2.3581137043038325e-13,0.9946415027293137,2.7761843430112716,3.9797738181836464,8.588054062967654
1,300,4,5,"0.7087,0.6942,0.7216,0.6236",6.554756737386924e-13,7.904787935331115e-14,1.001653125102086,2.3781758079654813,3.9737045189795075,8.300198675775217
1,300,4,6,"0.6675,0.6843,0.6982,0.657",9.607870055106105e-13,6.217248937900877e-14,1.0160470169904476,2.7831024084436295,4.0070328969540965,8.381434582276384
1,300,4,7,"0.6699,0.6672,0.6563,0.6995",2.426947531830592e-13,1.5987211554602254e-13,1.021913358667746,3.0248004794802443,3.9075177571416986,8.850484299455262
1,300,4,8,"0.664,0.681,0.6765,0.6876",9.50794998288984e-13,5.1514348342607263e-14,1.0186912460637991,2.722969919489229,3.969104887743645,8.386157244053038
1,300,4,9,"0.6953,0.6349,0.7046,0.6642",1.9453327837481993e-12,1.8740564655672642e-13,1.0160252273027037,3.243751457233301,3.9577238692817547,7.782829978345726
1,300,4,10,"0.7165,0.6469,0.6226,0.7155",3.9523939676655573e-13,1.6298074001497298e-13,1.0279666758125776,3.195297816553817,3.9465330506012606,8.470400708430242
1,500,4,1,"0.607,0.6035,0.6005,0.6279",2.787325925623918e-12,3.4372504842394846e-13,0.9608816226522262,3.4236678838348125,4.2655543388104835,10.365557361234641
1,500,4,2,"0.6348,0.6368,0.6151,0.6366",1.2896350654045818e-12,2.4846791291111003e-13,0.9569278242056227,3.4386390154285404,4.323601482339774,11.335822841561935
1,500,4,3,"0.6403,0.6175,0.6269,0.642",3.4230396295242826e-12,2.113864638886298e-13,0.9623782612974505,2.836634987045301,4.234542825888605,9.801595228994042
1,500,4,4,"0.6293,0.6049,0.628,0.6091",1.0247358517290195e-12,1.4410694859634532e-13,0.9663729969448276,2.852252569478781,4.189770118291943,9.285919834511688
1,500,4,5,"0.6024,0.6206,0.6168,0.6012",1.2285727990501982e-12,8.570921750106208e-14,0.9612400714441601,3.5192006752583467,4.275463303249267,10.500356044810166
1,500,4,6,"0.6238,0.6301,0.6278,0.6096",1.567634910770721e-12,2.540190280342358e-13,0.9490163736522419,3.0417668948039287,4.2584470230296585,9.884041828064616
1,500,4,7,"0.5948,0.6206,0.6283,0.6709",8.242295734817162e-13,6.750155989720952e-14,0.9270264775819747,3.278589615418226,4.198252047470437,9.661058056990594
1,500,4,8,"0.6071,0.6106,0.6199,0.6563",1.2496670365180762e-12,1.5587531265737198e-13,0.9597336027150761,2.648071749578882,4.240993471111671,9.018541179640666
1,500,4,9,"0.6382,0.6025,0.6383,0.6352",1.6548984405062583e-12,1.900701818158268e-13,0.9605587324958718,2.5932893809809188,4.192372981953379,9.444983252696943
1,500,4,10,"0.673,0.609,0.6411,0.6386",9.132694600566538e-13,8.260059303211165e-14,0.9646426468216519,2.7054900458861435,4.270293324123403,9.820073498400557
1,800,4,1,"0.5909,0.6094,0.5804,0.592",1.6501466859608627e-11,2.9531932455029164e-13,0.8861815590855718,2.721127606470681,4.536009194793771,10.368871832387189
1,800,4,2,"0.5742,0.6136,0.6173,0.5794",2.1018742302203464e-12,2.1671553440683056e-13,0.8944214644865229,3.6208046130880533,4.493717589337935,9.786381690453378
