case,n,p,replication,method,total_iterations,mean_iterations,median_iterations,max_iterations,elapsed
1,300,4,1,cold,64671,215.57,215,366,2.594000000000001
1,300,4,1,seq_input,46281,154.27,149.5,419,1.7120000000000015
1,300,4,1,seq_mst,22653,75.51,54,365,0.8609999999999989
1,300,4,2,cold,64308,214.36,211,404,2.4019999999999992
1,300,4,2,seq_input,44442,148.14,145.5,354,1.5970000000000013
1,300,4,2,seq_mst,21383,71.27666666666667,57.5,373,0.782
1,300,4,3,cold,69843,232.81,229,404,2.5749999999999993
1,300,4,3,seq_input,43337,144.45666666666668,139,335,1.570999999999998
1,300,4,3,seq_mst,22237,74.12333333333333,56,409,0.7850000000000001
1,300,4,4,cold,62381,207.93666666666667,203.5,373,2.2639999999999993
1,300,4,4,seq_input,44751,149.17,142.5,351,1.6360000000000028
1,300,4,4,seq_mst,22830,76.1,57,323,0.8460000000000001
1,300,4,5,cold,70970,236.56666666666666,234,387,2.5820000000000007
1,300,4,5,seq_input,44268,147.56,142.5,304,1.5769999999999982
1,300,4,5,seq_mst,20757,69.19,54,267,0.875
1,300,4,6,cold,65080,216.93333333333334,212.5,346,2.354999999999997
1,300,4,6,seq_input,45105,150.35,145.5,389,1.5990000000000038
1,300,4,6,seq_mst,22049,73.49666666666667,54.5,356,0.8939999999999984
1,300,4,7,cold,65942,219.80666666666667,215,424,2.3999999999999986
1,300,4,7,seq_input,43315,144.38333333333333,138,390,1.5690000000000026
1,300,4,7,seq_mst,21194,70.64666666666666,54,324,0.902000000000001
1,300,4,8,cold,66070,220.23333333333332,219,385,2.3190000000000026
1,300,4,8,seq_input,44690,148.96666666666667,142.5,345,1.703000000000003
1,300,4,8,seq_mst,22130,73.76666666666667,55,351,0.847999999999999
1,300,4,9,cold,68571,228.57,232,445,2.299999999999997
1,300,4,9,seq_input,43498,144.99333333333334,140.5,396,1.6360000000000028
1,300,4,9,seq_mst,21552,71.84,56.5,351,0.7950000000000017
1,300,4,10,cold,67213,224.04333333333332,217.5,370,2.3739999999999952
1,300,4,10,seq_input,43863,146.21,139.5,324,1.6470000000000056
1,300,4,10,seq_mst,21903,73.01,55.5,322,0.8210000000000051
