case,n,p,method,mean_total_iterations,median_total_iterations,mean_mean_iterations,mean_median_iterations,mean_max_iterations,mean_elapsed
1,300,4,cold,66504.9,66006,221.683,218.85,390.4,2.416499999999999
1,300,4,seq_input,44355,44355,147.85,142.5,360.7,1.624700000000002
1,300,4,seq_mst,21868.8,21976,72.896,55.4,344.1,0.8409000000000004
1,500,4,cold,175607.5,175673,351.215,346.15,654,7.912900000000012
1,500,4,seq_input,116840.7,116458,233.6814,223.1,577.3,40.207100000000004
1,500,4,seq_mst,53559.1,54031,107.1182,79.8,597,2.539799999999995
1,800,4,cold,446354.7,446501,557.9433750000001,549.25,1092.8,26.37589999999998
1,800,4,seq_input,276233.4,276820,345.29175,325.1,938.3,129.52399999999997
1,800,4,seq_mst,124175.1,124547.5,155.218875,110.45,872.5,7.6732999999999265
2,300,4,cold,49061.3,50189,163.53766666666667,153,366.5,1.7955000000000383
2,300,4,seq_input,46447.1,46218.5,154.82366666666667,141.25,440.4,1.6644000000000232
2,300,4,seq_mst,15630.3,15668,52.101,41.3,280.6,0.6067000000000007
2,500,4,cold,133264.1,131748,266.52819999999997,247.65,645.5,6.086900000000014
2,500,4,seq_input,129140.6,129000,258.2812,228.85,780.2,100.95200000000007
2,500,4,seq_mst,36896.9,37095,73.7938,57.05,463.9,9.460500000000001
2,800,4,cold,341006.5,339648.5,426.258125,396.25,1043.5,20.056299999999965
2,800,4,seq_input,325392.7,324740,406.740875,357.5,1310.5,113.9017000000002
2,800,4,seq_mst,86154.9,85777,107.693625,78.4,828,96.84800000000004
