"tau","n","gamma","first_mean","first_min","first_max","F_mean","F_median","F_q90","F_max","R_mean","R_min","R_max","all_grid_no_repair","mean_max_S","over_nb","over_nb_gamma_log"
0.5,1000,0.0320494439794408,0.996484447006624,0.978562421185372,1,2.802,2,5,17,2.926,0,18,0.084,23.048,0.09175574066917,1.54082590729369
0.5,2000,0.026739033350148,0.999387213334509,0.996827411167513,1,0.978,1,2,5,0.986,0,6,0.416,31.816,0.0727480876605991,1.64891771733126
0.5,5000,0.0207203612237177,0.999981996525259,0.999494183105716,1,0.072,0,0,2,0.072,0,2,0.932,48.038,0.0527726513793393,1.75458415103944
0.5,10000,0.0169260158132766,0.999999498641553,0.999874071275658,1,0.004,0,0,1,0.004,0,1,0.996,65.61,0.0413971113713455,1.82066580008207
0.2,1000,0.0320494439794408,0.991478400511278,0.974522292993631,1,6.804,6,11.1,20,7.63,0,26,0.004,16.402,0.0652975381141846,1.09652145658761
0.2,2000,0.026739033350148,0.997622526211347,0.99002493765586,1,3.798,3,7,16,3.964,0,16,0.048,22.342,0.0510855473508016,1.15791173122375
0.2,5000,0.0207203612237177,0.999779156290054,0.998493219487695,1,0.882,1,2,6,0.886,0,6,0.426,33.098,0.0363601568623459,1.20890183253057
0.2,10000,0.0169260158132766,0.999983742393238,0.999748237663646,1,0.13,0,1,2,0.13,0,2,0.884,44.94,0.0283552230609399,1.24707698606444
0.8,1000,0.0320494439794408,0.991635955522834,0.973651191969887,1,6.674,6,11,21,7.356,0,25,0.004,17.058,0.0679091211530156,1.14037696661818
0.8,2000,0.026739033350148,0.997921136157066,0.991194968553459,1,3.32,3,6,14,3.44,0,15,0.074,23.058,0.0527226994367015,1.1950196355992
0.8,5000,0.0207203612237177,0.999803200733608,0.998498874155617,1,0.786,1,2,6,0.792,0,6,0.468,34.018,0.0373708325621875,1.24250475977476
0.8,10000,0.0169260158132766,0.999985497643043,0.999497739829232,1,0.116,0,0,4,0.116,0,4,0.904,45.806,0.0289016321212597,1.2711083316348
