"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",2,2,0.2,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.62247,1.605,1.549,1.858,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.007494,0.00700000000000012,0.00599999999999978,0.019,1.3104376133017e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,3815,3402,0,357223,21968832,0,0,16.402,24,0.00753800000000001,0.00700000000000012,0.00599999999999978,0.022,5.39712122234753e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.389418,2.325,2.164,2.798,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.02764,0.0270000000000001,0.0249999999999995,0.0459999999999999,1.5942401567367e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,1982,1899,0,730483,60538879,0,0,22.342,35,0.022744,0.0229999999999997,0.0209999999999999,0.0439999999999999,4.3869899500743e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,6.713678,6.675,6.194,7.617,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.17306,0.172,0.154999999999999,0.219,1.09994654804709e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,443,441,0,1870675,231972563,0,0,33.098,44,0.119618,0.119,0.113999999999999,0.15,4.31695971559444e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,20.043712,20.029,18.989,21.269,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.70844,0.704,0.631,0.843,1.91933511087532e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.2,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,65,65,0,3797260,639357730,0,0,44.94,64,0.49982,0.499,0.477,0.535,4.47782933967016e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.69641,1.6785,1.554,2.043,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.00911799999999999,0.0089999999999999,0.00699999999999967,0.024,1.00254092766337e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,1463,1401,0,343617,27921108,0,0,23.048,35,0.00845,0.00800000000000001,0.00699999999999967,0.024,3.16425643803266e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.43728,2.407,2.267,2.733,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.034704,0.0349999999999997,0.0299999999999998,0.0590000000000002,1.25788853536014e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,493,489,0,706655,79846216,0,0,31.816,43,0.026054,0.026,0.024,0.039,4.12916597715168e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,8.270386,8.2625,7.798,8.947,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.227794,0.227,0.199,0.27,1.4080514254271e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,36,36,0,1826014,311197550,0,0,48.038,62,0.1463,0.145999999999999,0.136,0.167,3.49225069317783e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,30.347338,30.3245,29.247,31.573,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.978836,0.9735,0.871000000000002,1.182,2.844806159544e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,2,2,0,3727674,857659537,0,0,65.61,82,0.614944,0.614999999999998,0.589000000000002,0.644000000000005,3.91752578648847e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.641436,1.627,1.533,1.838,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.010184,0.01,0.0089999999999999,0.017,5.60209498946901e-15,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,3678,3337,0,353526,23716979,0,0,17.058,26,0.007784,0.00800000000000001,0.00600000000000023,0.016,3.51861929647798e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.471628,2.458,2.34,2.71,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.03932,0.039,0.0339999999999998,0.0559999999999996,1.00774979174388e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,1720,1660,0,726236,64023920,0,0,23.058,41,0.023662,0.024,0.0219999999999998,0.0299999999999998,4.13481618630894e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,8.955708,8.9435,8.46,9.634,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.276314,0.275,0.242999999999999,0.327,1.5513746312992e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,396,393,0,1864145,243485554,0,0,34.018,47,0.126212,0.126,0.119,0.188,3.79164513044545e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,34.520444,34.481,33.161,36.107,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,1.244654,1.237,1.08,1.508,1.75999064136612e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.8,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,58,58,0,3789812,662782092,0,0,45.806,59,0.517018,0.516,0.498999999999995,0.548,4.42813000565298e-16,TRUE,TRUE,TRUE,TRUE,TRUE
