"case","n","p","replication","seed","h_summary","mst_max_abs_diff","mst_mean_edge_weight","mst_max_edge_weight"
1,300,4,1,20660446,"0.6837,0.6402,0.6907,0.6759",1.55875312657372e-13,1.02150807567831,2.42707609258321
1,300,4,2,20660447,"0.6964,0.6474,0.6498,0.6659",5.52891066263328e-14,1.02012343799329,3.34937666750125
1,300,4,3,20660448,"0.6566,0.6575,0.7119,0.6436",1.37112543541207e-13,1.03424294062631,2.73701959404573
1,300,4,4,20660449,"0.6733,0.6388,0.6528,0.6494",2.35811370430383e-13,0.994641502729314,2.77618434301127
1,300,4,5,20660450,"0.7087,0.6942,0.7216,0.6236",7.90478793533111e-14,1.00165312510209,2.37817580796548
1,300,4,6,20660451,"0.6675,0.6843,0.6982,0.657",6.21724893790088e-14,1.01604701699045,2.78310240844363
1,300,4,7,20660452,"0.6699,0.6672,0.6563,0.6995",1.59872115546023e-13,1.02191335866775,3.02480047948024
1,300,4,8,20660453,"0.664,0.681,0.6765,0.6876",5.15143483426073e-14,1.0186912460638,2.72296991948923
1,300,4,9,20660454,"0.6953,0.6349,0.7046,0.6642",1.87405646556726e-13,1.0160252273027,3.2437514572333
1,300,4,10,20660455,"0.7165,0.6469,0.6226,0.7155",1.62980740014973e-13,1.02796667581258,3.19529781655382
1,300,4,11,20660456,"0.6064,0.6653,0.6379,0.6393",1.15463194561016e-13,1.01458266970312,2.68497153249976
1,300,4,12,20660457,"0.6709,0.659,0.7251,0.6687",8.88178419700125e-14,1.00150934426806,2.17546976059456
1,300,4,13,20660458,"0.672,0.6832,0.7058,0.647",4.48530101948563e-14,1.02359026533037,3.07269320564917
1,300,4,14,20660459,"0.6867,0.6518,0.649,0.6559",6.94999613415348e-14,1.00934843700547,2.40776915317103
1,300,4,15,20660460,"0.6655,0.6734,0.6064,0.6666",5.95079541199084e-14,1.01153583642417,2.22966028867895
1,300,4,16,20660461,"0.6733,0.6828,0.6785,0.6778",1.29674049276218e-13,1.01869163705077,3.16965699908021
1,300,4,17,20660462,"0.6807,0.663,0.6621,0.6536",1.68087765928249e-13,1.02776734963442,3.68244615461847
1,300,4,18,20660463,"0.6253,0.7279,0.6846,0.6863",7.8159700933611e-14,1.02260466379279,3.68870719236623
1,300,4,19,20660464,"0.665,0.6562,0.687,0.6717",5.86197757002083e-14,1.02494274740146,3.45367164666037
1,300,4,20,20660465,"0.6698,0.7359,0.6823,0.7069",1.29229960066368e-13,1.01578434096753,2.72409953249698
1,300,4,21,20660466,"0.664,0.6723,0.68,0.7066",4.70734562441066e-14,1.0144274828002,2.8248197014617
1,300,4,22,20660467,"0.6474,0.6681,0.6191,0.6639",5.86197757002083e-14,1.00427656308271,3.55402486065456
1,300,4,23,20660468,"0.7168,0.6947,0.6047,0.6376",9.2370555648813e-14,1.04688673137299,2.7282147270194
1,300,4,24,20660469,"0.6602,0.6125,0.6384,0.6686",9.37028232783632e-14,1.01830730310513,2.93059358256821
1,300,4,25,20660470,"0.659,0.6945,0.6868,0.6969",3.48693296459146e-13,1.02149169682904,2.34698590239861
1,300,4,26,20660471,"0.7059,0.6379,0.6926,0.639",7.54951656745106e-14,1.00950575197809,2.51223548941524
1,300,4,27,20660472,"0.6507,0.6562,0.6951,0.6509",7.23865412055602e-14,1.01205064151159,2.53917309740018
1,300,4,28,20660473,"0.6852,0.6711,0.6546,0.682",1.02140518265514e-13,1.01013831613346,3.43919699406187
1,300,4,29,20660474,"0.6856,0.6969,0.676,0.6778",7.01660951563099e-14,0.998890087753854,3.05384983307782
1,300,4,30,20660475,"0.646,0.6583,0.7056,0.7139",6.75015598972095e-14,1.00150679465022,2.30250732936941
1,300,4,31,20660476,"0.6977,0.6674,0.6577,0.7334",7.86037901434611e-14,1.0044639262561,2.8946410304247
1,300,4,32,20660477,"0.703,0.6775,0.697,0.6696",4.51194637207664e-13,1.03549200661705,3.13255337044778
1,300,4,33,20660478,"0.6579,0.6537,0.5998,0.663",6.12843109593086e-14,1.0280848370267,2.79353685771318
1,300,4,34,20660479,"0.6371,0.6249,0.641,0.6444",4.10338429901458e-13,0.995825280155961,2.96302458697853
1,300,4,35,20660480,"0.6719,0.665,0.6391,0.7051",6.48370246381091e-14,1.01417199646589,2.80544525952763
1,300,4,36,20660481,"0.6404,0.6876,0.6768,0.6472",5.97299987248334e-14,1.01417688760921,2.79396853578766
1,300,4,37,20660482,"0.6974,0.6657,0.7023,0.698",1.3855583347322e-13,1.00425739781123,2.67897685605924
1,300,4,38,20660483,"0.6644,0.6966,0.6857,0.6112",7.01660951563099e-14,1.03404140457634,2.97069723618374
1,300,4,39,20660484,"0.6677,0.7028,0.7114,0.6791",9.79216707719388e-14,0.991596917947423,2.98803758631929
1,300,4,40,20660485,"0.6267,0.6741,0.6974,0.6638",9.37028232783632e-14,1.01664945216638,3.06678914487983
1,300,4,41,20660486,"0.6654,0.6437,0.6707,0.6355",8.17124146124115e-14,0.997637058200008,3.04824939680003
1,300,4,42,20660487,"0.6806,0.6461,0.7125,0.61",1.03028696685215e-13,1.0097551710014,2.87382412129399
1,300,4,43,20660488,"0.6624,0.6872,0.7248,0.6991",1.32560629140244e-13,0.987524144915477,2.34006661005133
1,300,4,44,20660489,"0.6732,0.6234,0.6795,0.6801",8.14903700074865e-14,1.00843523685331,3.44407331611693
1,300,4,45,20660490,"0.7006,0.7144,0.6014,0.6648",2.1049828546893e-13,1.01183251362954,2.99430315829984
1,300,4,46,20660491,"0.6402,0.6457,0.6543,0.6702",2.63788990650937e-13,1.00913698378258,2.98986667255023
1,300,4,47,20660492,"0.6837,0.7293,0.6499,0.6834",2.32702745961433e-13,1.0169713890779,2.80982010797541
1,300,4,48,20660493,"0.6288,0.6791,0.6673,0.6791",8.39328606616618e-14,1.01345464055721,2.98808457034098
1,300,4,49,20660494,"0.6971,0.6934,0.69,0.6447",1.0724754417879e-13,1.01173317591607,2.93698184865593
1,300,4,50,20660495,"0.6919,0.702,0.6653,0.6923",4.02344824124157e-13,1.02321980423992,2.77576049677365
1,300,4,51,20660496,"0.6717,0.6188,0.6679,0.6397",6.77236045021345e-14,1.00298837370922,2.9922715174609
1,300,4,52,20660497,"0.6571,0.6734,0.6524,0.7067",1.26065824446187e-13,1.02127307724435,2.84267108800114
1,300,4,53,20660498,"0.6778,0.6654,0.6282,0.6809",8.34887714518118e-14,1.0354963646182,3.06166129769067
1,300,4,54,20660499,"0.6379,0.6334,0.6676,0.6436",8.83737527601625e-14,1.03179282531701,3.56713868150315
1,300,4,55,20660500,"0.6928,0.6444,0.6907,0.6688",1.56319401867222e-13,1.00609317861119,2.73591405724619
1,300,4,56,20660501,"0.6721,0.6903,0.7015,0.607",1.19459997449667e-13,1.00958544711738,2.62312536454409
1,300,4,57,20660502,"0.6604,0.6594,0.6504,0.6616",5.59552404411079e-14,1.01433225613753,2.63767204318312
1,300,4,58,20660503,"0.7384,0.6583,0.655,0.6923",1.05693231944315e-13,1.02016859274807,3.12691940875187
1,300,4,59,20660504,"0.642,0.7026,0.665,0.6755",7.50510764646606e-14,1.02019810993937,2.62984058746686
1,300,4,60,20660505,"0.6724,0.6737,0.6294,0.6405",3.5527136788005e-14,1.00761702597695,2.8738244892291
1,300,4,61,20660506,"0.6449,0.6717,0.6317,0.7281",2.82218692859715e-13,1.01972227388531,2.67255970577134
1,300,4,62,20660507,"0.6678,0.6552,0.6798,0.6588",3.03757019537443e-13,1.01156973734622,2.38342305040316
1,300,4,63,20660508,"0.6336,0.6801,0.6238,0.6658",5.32768273941997e-14,1.00641498988416,2.50365696422019
1,300,4,64,20660509,"0.6925,0.6272,0.7007,0.7001",8.20454815197991e-14,1.02502744027412,2.58569853803851
1,300,4,65,20660510,"0.6677,0.6923,0.697,0.6719",1.68975944347949e-13,1.01617138884225,2.84478341784955
1,300,4,66,20660511,"0.6614,0.6735,0.643,0.7226",7.90478793533111e-14,1.03780472096847,2.79243424505571
1,300,4,67,20660512,"0.6866,0.6694,0.7276,0.6781",1.51878509768721e-13,1.01147278201302,3.19104142894977
1,300,4,68,20660513,"0.7097,0.6699,0.6289,0.6693",8.57092175010621e-14,1.02144774913381,2.77904064558017
1,300,4,69,20660514,"0.6802,0.6515,0.6718,0.6921",3.76143560743003e-13,1.00145062092346,2.67879883017241
1,300,4,70,20660515,"0.6713,0.6347,0.6436,0.6731",6.87228052242972e-14,1.00348710267671,3.37018984896183
1,300,4,71,20660516,"0.6609,0.6782,0.6678,0.6843",1.39221967287995e-13,1.02866785023581,2.50564100301734
1,300,4,72,20660517,"0.6924,0.6671,0.6746,0.6616",1.79412040779425e-13,1.02670711709114,3.8806000510309
1,300,4,73,20660518,"0.6701,0.6966,0.6534,0.6045",1.29229960066368e-13,1.01893068883285,2.53172337843658
1,300,4,74,20660519,"0.6661,0.6697,0.6481,0.6514",1.27897692436818e-13,1.01541740499166,2.94470257874162
1,300,4,75,20660520,"0.6797,0.672,0.6506,0.6266",8.70414851306123e-14,1.01919963320939,2.87662339946345
1,300,4,76,20660521,"0.7034,0.6729,0.6285,0.6752",5.30686605770825e-14,1.01877012616757,2.62486631936849
1,300,4,77,20660522,"0.6958,0.7003,0.6721,0.6743",1.09690034832965e-13,1.0008545469348,3.06832279383647
1,300,4,78,20660523,"0.7166,0.6324,0.662,0.72",1.15463194561016e-13,1.00525274408856,2.71281852235804
1,300,4,79,20660524,"0.7138,0.6535,0.7262,0.6935",1.13131726209303e-13,1.03139011043022,3.20162959811836
1,300,4,80,20660525,"0.6817,0.7129,0.6373,0.591",1.02362562870439e-13,1.02413108168922,3.0597494432215
1,300,4,81,20660526,"0.6418,0.686,0.6802,0.6709",1.21680443498917e-13,1.00120268852934,2.64530245536444
1,300,4,82,20660527,"0.6439,0.6668,0.6936,0.7042",1.03028696685215e-13,1.0377246754187,3.0473034916441
1,300,4,83,20660528,"0.7057,0.6713,0.6577,0.6663",9.9475983006414e-14,1.03476620044718,2.79890191966217
1,300,4,84,20660529,"0.6727,0.6168,0.6634,0.6945",1.03916875104915e-13,1.01835995809385,3.47868971537398
1,300,4,85,20660530,"0.6968,0.6426,0.6819,0.6406",6.06181771445335e-14,1.02622454538538,2.58400676069356
1,300,4,86,20660531,"0.6517,0.6896,0.6715,0.7027",1.11466391672366e-13,1.01089560998808,3.79611098150675
1,300,4,87,20660532,"0.6701,0.6583,0.6896,0.6418",7.94919685631612e-14,1.03110746230387,3.36504904203043
1,300,4,88,20660533,"0.6654,0.6675,0.6614,0.6735",7.50510764646606e-14,1.04541912140366,2.27538065516311
1,300,4,89,20660534,"0.6868,0.7321,0.6702,0.6827",2.42472708578134e-13,0.984652383691228,2.87232862279387
1,300,4,90,20660535,"0.6538,0.655,0.6566,0.6713",7.66053886991358e-14,1.00606631522096,2.8548381391484
1,300,4,91,20660536,"0.6472,0.6675,0.6419,0.677",6.50590692430342e-14,1.01449087825369,2.52854199905906
1,300,4,92,20660537,"0.6941,0.6941,0.7235,0.6531",8.14903700074865e-14,1.01318350968637,2.61259835160911
1,300,4,93,20660538,"0.6552,0.6577,0.6984,0.6658",5.15143483426073e-14,0.999523183498208,2.90222416558615
1,300,4,94,20660539,"0.6771,0.6412,0.6857,0.6731",2.50466314355435e-13,1.00150344699895,3.6394359979736
1,300,4,95,20660540,"0.6838,0.6719,0.6476,0.7218",5.55111512312578e-14,1.02084756169702,2.64995764941544
1,300,4,96,20660541,"0.6502,0.6625,0.6561,0.6482",1.57207580286922e-13,1.01009748004646,2.42856095964995
1,300,4,97,20660542,"0.6495,0.6456,0.6771,0.6244",1.87405646556726e-13,1.0098787397761,2.2887504187028
1,300,4,98,20660543,"0.6082,0.6765,0.677,0.6364",2.33146835171283e-13,1.00891633104036,2.91832866876107
1,300,4,99,20660544,"0.6834,0.7128,0.6573,0.6551",1.54987134237672e-13,1.00229482462402,2.62252096833498
1,300,4,100,20660545,"0.6962,0.6518,0.7347,0.635",7.23865412055602e-14,1.00927907647035,3.12040849445892
1,500,4,1,20860446,"0.607,0.6035,0.6005,0.6279",3.43725048423948e-13,0.960881622652226,3.42366788383481
1,500,4,2,20860447,"0.6348,0.6368,0.6151,0.6366",2.4846791291111e-13,0.956927824205623,3.43863901542854
1,500,4,3,20860448,"0.6403,0.6175,0.6269,0.642",2.1138646388863e-13,0.96237826129745,2.8366349870453
1,500,4,4,20860449,"0.6293,0.6049,0.628,0.6091",1.44106948596345e-13,0.966372996944828,2.85225256947878
1,500,4,5,20860450,"0.6024,0.6206,0.6168,0.6012",8.57092175010621e-14,0.96124007144416,3.51920067525835
1,500,4,6,20860451,"0.6238,0.6301,0.6278,0.6096",2.54019028034236e-13,0.949016373652242,3.04176689480393
1,500,4,7,20860452,"0.5948,0.6206,0.6283,0.6709",6.75015598972095e-14,0.927026477581975,3.27858961541823
1,500,4,8,20860453,"0.6071,0.6106,0.6199,0.6563",1.55875312657372e-13,0.959733602715076,2.64807174957888
1,500,4,9,20860454,"0.6382,0.6025,0.6383,0.6352",1.90070181815827e-13,0.960558732495872,2.59328938098092
