"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
1,300,1,64671,22653,0.649719348703437
1,300,10,67213,21903,0.674125541189948
1,300,100,67240,21205,0.684637120761451
1,300,11,62019,20568,0.668359696222125
1,300,12,62494,20892,0.665695906807053
1,300,13,59490,20367,0.657639939485628
1,300,14,60102,21218,0.646966823067452
1,300,15,60942,21238,0.651504709395819
1,300,16,60889,21889,0.640509780091642
1,300,17,66247,22440,0.661267680045889
1,300,18,66919,20973,0.686591252110761
1,300,19,66240,21258,0.679076086956522
1,300,2,64308,21383,0.667490825402749
1,300,20,71173,21582,0.696767032442078
1,300,21,65101,22774,0.650174344480116
1,300,22,66640,20505,0.692301920768307
1,300,23,65241,21474,0.670851151883018
1,300,24,63955,22407,0.649644281135173
1,300,25,62410,22759,0.635330876462106
1,300,26,61689,19837,0.678435377457894
1,300,27,65763,20287,0.691513465018323
1,300,28,69523,20024,0.711980207988723
1,300,29,64121,22292,0.65234478563965
1,300,3,69843,22237,0.68161447818679
1,300,30,61880,22783,0.631819650937298
1,300,31,61340,21111,0.655836322138898
1,300,32,66196,22745,0.656399178198078
1,300,33,63539,22125,0.651788665229229
1,300,34,68103,20850,0.693846086075503
1,300,35,58961,21677,0.632350197588236
1,300,36,60162,21173,0.648066886074266
1,300,37,67042,20426,0.695325318457087
1,300,38,65867,21521,0.673265823553524
1,300,39,61603,22108,0.64112137395906
1,300,4,62381,22830,0.634023180134977
1,300,40,65742,22193,0.66242280429558
1,300,41,69241,19737,0.714952123741714
1,300,42,67362,21603,0.679299902021911
1,300,43,63584,21286,0.665230246602919
1,300,44,67765,21814,0.678093411052903
1,300,45,63263,19304,0.694861135260737
1,300,46,65753,20500,0.688227153133697
1,300,47,68021,19880,0.707737316416989
1,300,48,71329,22504,0.684504198853201
1,300,49,66096,22659,0.657180464778504
1,300,5,70970,20757,0.707524306044808
1,300,50,67682,22886,0.661859874117195
1,300,51,61001,22227,0.635628924115998
1,300,52,63802,21755,0.659023228111971
1,300,53,64330,22917,0.643758743976372
1,300,54,62021,21771,0.648973734702762
1,300,55,64873,21874,0.662818121560588
1,300,56,63900,23119,0.638200312989045
1,300,57,62258,21049,0.66190690353047
1,300,58,60831,21786,0.641860235735069
1,300,59,66110,22127,0.665300257147179
1,300,6,65080,22049,0.66120159803319
1,300,60,65195,21049,0.677137817317279
1,300,61,69766,21199,0.696141386921996
1,300,62,58525,22096,0.62245194361384
1,300,63,68815,21802,0.68317953934462
1,300,64,69058,22198,0.678560050971647
1,300,65,64188,22628,0.64747304792173
1,300,66,70148,23771,0.661130752124081
1,300,67,64054,19875,0.689714928029475
1,300,68,68627,21997,0.679470179375465
1,300,69,66178,20175,0.695140378977908
1,300,7,65942,21194,0.67859634224015
1,300,70,61706,22384,0.637247593426895
1,300,71,65073,22448,0.655033577674304
1,300,72,69731,21762,0.687914987595187
1,300,73,66133,21637,0.6728259719051
1,300,74,68131,22535,0.669240140317917
1,300,75,67302,21699,0.677587590264777
1,300,76,62907,22441,0.643267045002941
1,300,77,67647,21782,0.678004937395598
1,300,78,64330,21824,0.660749261619773
1,300,79,67433,21055,0.687764151083297
1,300,8,66070,22130,0.66505221734524
1,300,80,66047,21931,0.667948582070344
1,300,81,64995,20449,0.685375798138318
1,300,82,62013,22784,0.632593165949075
1,300,83,59029,22059,0.626302325975368
1,300,84,63266,22129,0.650222868523378
1,300,85,62707,20617,0.671216929529399
1,300,86,67275,20774,0.691207729468599
1,300,87,65466,22135,0.661885558916079
1,300,88,62756,23076,0.632290139588247
1,300,89,65664,20572,0.686708089668616
1,300,9,68571,21552,0.685698035612723
1,300,90,65047,21489,0.669638876504681
1,300,91,64480,20814,0.67720223325062
1,300,92,63956,21952,0.656764025267371
1,300,93,62002,20804,0.66446243669559
1,300,94,62142,21623,0.652038878697177
1,300,95,62462,20842,0.666325125676411
1,300,96,64366,21427,0.66710685765777
1,300,97,64315,21923,0.659130840394931
1,300,98,64877,22858,0.647671748077131
1,300,99,63717,20847,0.67281887094496
1,500,1,186231,55110,0.704077194452051
1,500,10,174844,54853,0.686274621948709
1,500,100,184414,53920,0.707614389363064
1,500,11,174245,54998,0.684363970271744
1,500,12,163487,56259,0.655880895728712
