"case","n","p","replication","method","total_iterations","mean_iterations","median_iterations","max_iterations","elapsed"
1,300,4,1,"cold",64671,215.57,215,366,12.123
1,300,4,1,"seq_mst",22653,75.51,54,365,4.68
1,300,4,2,"cold",64308,214.36,211,404,11.177
1,300,4,2,"seq_mst",21383,71.2766666666667,57.5,373,3.504
1,300,4,3,"cold",69843,232.81,229,404,13.339
1,300,4,3,"seq_mst",22237,74.1233333333333,56,409,4.459
1,300,4,4,"cold",62381,207.936666666667,203.5,373,11.173
1,300,4,4,"seq_mst",22830,76.1,57,323,4.09
1,300,4,5,"cold",70970,236.566666666667,234,387,12.832
1,300,4,5,"seq_mst",20757,69.19,54,267,4.02800000000001
1,300,4,6,"cold",65080,216.933333333333,212.5,346,13.67
1,300,4,6,"seq_mst",22049,73.4966666666667,54.5,356,5.18599999999999
1,300,4,7,"cold",65942,219.806666666667,215,424,14.485
1,300,4,7,"seq_mst",21194,70.6466666666667,54,324,5.039
1,300,4,8,"cold",66070,220.233333333333,219,385,13.858
1,300,4,8,"seq_mst",22130,73.7666666666667,55,351,5.38500000000002
1,300,4,9,"cold",68571,228.57,232,445,14.394
1,300,4,9,"seq_mst",21552,71.84,56.5,351,4.52099999999999
1,300,4,10,"cold",67213,224.043333333333,217.5,370,13.19
1,300,4,10,"seq_mst",21903,73.01,55.5,322,5.23499999999999
1,300,4,11,"cold",62019,206.73,206,412,12.849
1,300,4,11,"seq_mst",20568,68.56,53.5,379,4.911
1,300,4,12,"cold",62494,208.313333333333,205,346,13.192
1,300,4,12,"seq_mst",20892,69.64,56,316,4.34200000000001
1,300,4,13,"cold",59490,198.3,194,343,11.622
1,300,4,13,"seq_mst",20367,67.89,53,296,4.886
1,300,4,14,"cold",60102,200.34,199,388,12.454
1,300,4,14,"seq_mst",21218,70.7266666666667,55.5,284,6.89599999999999
1,300,4,15,"cold",60942,203.14,199,325,22.394
1,300,4,15,"seq_mst",21238,70.7933333333333,57,333,4.07900000000001
1,300,4,16,"cold",60889,202.963333333333,202,361,11.718
1,300,4,16,"seq_mst",21889,72.9633333333333,59,336,4.54999999999995
1,300,4,17,"cold",66247,220.823333333333,217,414,14.741
1,300,4,17,"seq_mst",22440,74.8,57.5,371,2.48900000000003
1,300,4,18,"cold",66919,223.063333333333,214,400,7.11699999999996
1,300,4,18,"seq_mst",20973,69.91,53.5,314,2.92400000000004
1,300,4,19,"cold",66240,220.8,221.5,388,15.116
1,300,4,19,"seq_mst",21258,70.86,50,346,2.88899999999995
1,300,4,20,"cold",71173,237.243333333333,239,470,11.692
1,300,4,20,"seq_mst",21582,71.94,60.5,300,2.78000000000003
1,300,4,21,"cold",65101,217.003333333333,218,396,6.71100000000001
1,300,4,21,"seq_mst",22774,75.9133333333333,58.5,298,2.34399999999999
1,300,4,22,"cold",66640,222.133333333333,221,410,7.14600000000002
1,300,4,22,"seq_mst",20505,68.35,49,311,2.30000000000001
1,300,4,23,"cold",65241,217.47,211,406,9.67700000000002
1,300,4,23,"seq_mst",21474,71.58,59,333,3.76799999999997
1,300,4,24,"cold",63955,213.183333333333,209,411,10.6
1,300,4,24,"seq_mst",22407,74.69,60,285,6.368
1,300,4,25,"cold",62410,208.033333333333,201,398,18.411
1,300,4,25,"seq_mst",22759,75.8633333333333,56,369,5.738
1,300,4,26,"cold",61689,205.63,208,353,15.273
1,300,4,26,"seq_mst",19837,66.1233333333333,56,273,3.98400000000004
1,300,4,27,"cold",65763,219.21,213,356,10.974
1,300,4,27,"seq_mst",20287,67.6233333333333,53.5,343,6.88800000000003
1,300,4,28,"cold",69523,231.743333333333,219,405,13.011
1,300,4,28,"seq_mst",20024,66.7466666666667,48.5,420,3.64699999999999
1,300,4,29,"cold",64121,213.736666666667,209.5,395,11.225
1,300,4,29,"seq_mst",22292,74.3066666666667,58,331,3.96799999999996
1,300,4,30,"cold",61880,206.266666666667,201.5,390,3.61
1,300,4,30,"seq_mst",22783,75.9433333333333,59,323,1.504
1,300,4,31,"cold",61340,204.466666666667,197,361,3.477
1,300,4,31,"seq_mst",21111,70.37,58,296,1.211
1,300,4,32,"cold",66196,220.653333333333,217.5,385,3.861
1,300,4,32,"seq_mst",22745,75.8166666666667,57.5,342,1.166
1,300,4,33,"cold",63539,211.796666666667,208,386,3.607
1,300,4,33,"seq_mst",22125,73.75,56.5,318,1.279
1,300,4,34,"cold",68103,227.01,230,388,3.752
1,300,4,34,"seq_mst",20850,69.5,47.5,290,1.329
1,300,4,35,"cold",58961,196.536666666667,192,386,3.212
1,300,4,35,"seq_mst",21677,72.2566666666667,57,319,1.238
1,300,4,36,"cold",60162,200.54,200,418,3.432
1,300,4,36,"seq_mst",21173,70.5766666666667,53.5,341,1.192
1,300,4,37,"cold",67042,223.473333333333,222,365,3.70800000000001
