"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",1,1,0.2,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.822968,1.8155,0.51,6.77,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.039794,0.0370000000000004,0.0349999999999997,0.069,1.75335030343183e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,19117,10471,1383,360548,149108599,0,0,46.886,77,0.044522,0.0419999999999999,0.0389999999999997,0.074,5.72595913833954e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,3.638386,3.628,2.013,4.583,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.140266,0.138,0.13,0.23,2.58822824644256e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,19237,10023,1324,749742,521290753,0,0,88.822,140,0.159788,0.157,0.148,0.209,5.4965407904564e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,18.057046,18.357,13.228,19.802,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.89738,0.872999999999998,0.833000000000002,1.583,2.91577962659787e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,22353,11052,1478,1975850,2684465176,0,0,212.196,250,0.979184,0.965999999999998,0.866,1.209,4.17212191740003e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,74.463748,74.8265,53.073,84.025,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,3.804744,3.684,3.515,5.15600000000001,7.0396484773268e-12,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.2,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,26108,12406,1564,4117311,8980446319,0,0,416.406,468,3.84674,3.7745,3.251,5.317,3.92578896049204e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.5,1000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,1.876098,1.887,0.584,2.231,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.5,1000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.04216,0.04,0.0369999999999999,0.081,2.84158030335805e-13,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.5,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,22581,12302,1186,306770,207259948,0,0,77.546,93,0.050264,0.048,0.044,0.0760000000000001,4.33158797446875e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",1,1,0.5,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,3.978936,4.062,2.465,4.508,0,TRUE,TRUE,TRUE,TRUE,TRUE
