"model","raw_case","paper_case","n","tau","method","replications","time_mean_sec","time_sd_sec","max_discrepancy"
"llqr",2,1,100,0.5,"direct_baseline",2,0.387,0.535986940139403,0
"llqr",2,1,100,0.5,"lean_seq",2,0.00199999999999978,0.00282842712474588,2.22824768217156e-16
"llqr",2,1,100,0.5,"unified_u11",2,0.0110000000000001,0.0141421356237306,1.34216612441826e-16
"llqr",2,2,100,0.5,"direct_baseline",2,0.382,0.527501658765164,0
"llqr",2,2,100,0.5,"lean_seq",2,0.00249999999999995,0.00353553390593266,2.83283530989396e-16
"llqr",2,2,100,0.5,"unified_u11",2,0.0115000000000001,0.0148492424049174,2.29583332646682e-16
"tvcqr",1,3,100,0.5,"direct_baseline",2,0.4145,0.505581348548382,0
"tvcqr",1,3,100,0.5,"lean_seq",2,0.003,0.00282842712474635,4.0544344476036e-14
"tvcqr",1,3,100,0.5,"unified_u11",2,0.011,0.0127279220613579,3.22517920493653e-15
"tvcqr",2,4,100,0.5,"direct_baseline",2,0.417,0.507702668891941,0
"tvcqr",2,4,100,0.5,"lean_seq",2,0.003,0.00282842712474604,1.73521888436473e-14
"tvcqr",2,4,100,0.5,"unified_u11",2,0.0115000000000001,0.0134350288425445,3.9127771818375e-15
