"case","n","tau","seed","points","H_match","max_estimate_error","max_objective_gap","max_KKT_violation","full_active_recovery","seq_fallback"
1,100,0.2,2026,79,TRUE,1.11022302462516e-15,5.56944339593999e-16,5.67887028051717e-16,1,FALSE
1,100,0.2,2027,86,TRUE,8.88178419700125e-16,3.98358887733156e-16,1.4432899320127e-15,0,FALSE
1,100,0.5,2026,79,TRUE,8.88178419700125e-16,3.94192296237772e-16,7.7715611723761e-16,0,FALSE
1,100,0.5,2027,86,TRUE,1.33226762955019e-15,3.53668659042758e-16,9.99200722162641e-16,1,FALSE
1,100,0.8,2026,79,TRUE,1.33226762955019e-15,5.29964051755362e-16,9.99200722162641e-16,1,FALSE
1,100,0.8,2027,86,TRUE,8.88178419700125e-16,3.56581770880201e-16,8.89913143176102e-16,1,FALSE
1,200,0.2,2026,156,TRUE,8.88178419700125e-16,5.38653992582861e-16,1.19348975147204e-15,1,FALSE
1,200,0.2,2027,163,TRUE,2.22044604925031e-15,5.8326103659716e-16,1.66533453693773e-15,0,FALSE
1,200,0.5,2026,156,TRUE,8.88178419700125e-16,6.4890580716236e-16,2.27595720048157e-15,0,FALSE
1,200,0.5,2027,163,TRUE,1.11022302462516e-15,5.07080295085578e-16,1.88737914186277e-15,0,FALSE
1,200,0.8,2026,156,TRUE,1.33226762955019e-15,4.07971087628927e-16,1.41553435639707e-15,0,FALSE
1,200,0.8,2027,163,TRUE,1.33226762955019e-15,6.14636167217742e-16,1.62370117351429e-15,0,FALSE
2,100,0.2,2026,100,TRUE,1.11022302462516e-15,5.39111839848836e-16,5.94138672228893e-16,1,FALSE
2,100,0.2,2027,100,TRUE,1.11022302462516e-15,4.22819124297902e-16,1.09634523681734e-15,1,FALSE
2,100,0.5,2026,100,TRUE,1.33226762955019e-15,5.92552948306786e-16,1.11022302462516e-15,0,FALSE
2,100,0.5,2027,100,TRUE,1.77635683940025e-15,6.9016359823735e-16,5.55111512312578e-16,0,FALSE
2,100,0.8,2026,100,TRUE,1.33226762955019e-15,5.45749884665559e-16,6.38378239159465e-16,2,FALSE
2,100,0.8,2027,100,TRUE,1.24344978758018e-14,1.7313417726075e-15,6.66133814775094e-16,1,FALSE
2,200,0.2,2026,200,TRUE,1.11022302462516e-15,6.18484616645139e-16,2.22044604925031e-15,0,FALSE
2,200,0.2,2027,200,TRUE,1.11022302462516e-15,5.93262539737857e-16,1.38777878078145e-15,0,FALSE
2,200,0.5,2026,200,TRUE,1.77635683940025e-15,7.19956383794084e-16,1.38777878078145e-15,0,FALSE
2,200,0.5,2027,200,TRUE,2.22044604925031e-15,6.85657700759042e-16,1.0547118733939e-15,0,FALSE
2,200,0.8,2026,200,TRUE,3.5527136788005e-15,7.12776124554348e-16,1.69309011255336e-15,1,FALSE
2,200,0.8,2027,200,TRUE,1.33226762955019e-15,9.1411033090824e-16,1.50227053019591e-15,0,FALSE
3,100,0.2,2026,100,TRUE,1.04360964314765e-14,4.06301354821328e-15,9.71445146547012e-16,51,FALSE
3,100,0.2,2027,100,TRUE,1.86517468137026e-14,5.2667392388544e-15,1.07205910815367e-15,58,FALSE
3,100,0.5,2026,100,TRUE,6.41153796721028e-15,9.52946412441271e-16,1.34377353391241e-15,47,FALSE
3,100,0.5,2027,100,TRUE,8.50985948375182e-14,2.9514535542623e-14,1.27675647831893e-15,64,FALSE
3,100,0.8,2026,100,TRUE,6.88338275267597e-15,1.18298392618955e-15,1.48145384848419e-15,57,FALSE
3,100,0.8,2027,100,TRUE,1.11022302462516e-14,4.81164276828944e-15,2.06779038336435e-15,64,FALSE
3,200,0.2,2026,200,TRUE,1.11022302462516e-14,2.43282108828937e-15,2.53336596565556e-15,56,FALSE
3,200,0.2,2027,200,TRUE,1.65423230669148e-14,2.2530188183683e-15,2.12330153459561e-15,79,FALSE
3,200,0.5,2026,200,TRUE,2.1538326677728e-14,2.51890329272876e-15,2.05391259555654e-15,72,FALSE
3,200,0.5,2027,200,TRUE,1.64313007644523e-14,2.14905731706434e-15,1.84574577843932e-15,76,FALSE
3,200,0.8,2026,200,TRUE,1.62647673107585e-14,1.86816997739184e-15,1.88737914186277e-15,77,FALSE
3,200,0.8,2027,200,TRUE,4.1133763062362e-14,1.04377965363268e-14,3.96904731303493e-15,74,FALSE
4,100,0.2,2026,100,TRUE,1.08801856413265e-14,7.13185763634292e-15,1.49880108324396e-15,53,FALSE
4,100,0.2,2027,100,TRUE,7.87148124459236e-14,5.01795073256997e-14,1.65592333750258e-15,47,FALSE
4,100,0.5,2026,100,TRUE,1.0991207943789e-14,1.32368320016887e-14,2.00782528543311e-15,58,FALSE
4,100,0.5,2027,100,TRUE,1.60427227058335e-14,1.7162413296043e-14,1.92373759149623e-15,61,FALSE
4,100,0.8,2026,100,TRUE,1.39332989590457e-14,1.07259887512044e-14,1.66178681296455e-15,55,FALSE
4,100,0.8,2027,100,TRUE,1.27953203588049e-14,1.52050866240689e-14,1.70183142698879e-15,66,FALSE
4,200,0.2,2026,200,TRUE,2.42028619368284e-14,1.11242494545806e-14,4.1286418728248e-15,55,FALSE
4,200,0.2,2027,200,TRUE,5.05151476204446e-14,2.89356455787493e-14,4.30211422042248e-15,50,FALSE
